Date,eq_port,eq_bh
2005-01-04,0.9999206349206349,0.9880617238806657
2005-01-05,0.9998412761400856,0.9856674716164898
2005-01-06,0.9997619236578522,0.9827918993930965
2005-01-07,0.9996825774734349,0.9823923348784845
2005-01-10,0.9996032375863338,0.9843821104462052
2005-01-11,0.9995239039960492,0.9838521260288311
2005-01-12,0.9994445767020812,0.9892464020191221
2005-01-13,0.9993652557039302,0.9862982990161855
2005-01-14,0.9992859410010965,0.988203316343429
2005-01-18,0.9992066325930805,0.993381181834974
2005-01-19,0.9991273304793826,0.9869604416546531
2005-01-20,0.9990480346595033,0.9810807672762761
2005-01-21,0.998968745132943,0.9806442582463359
2005-01-24,0.9988894618992022,0.9778652411332538
2005-01-25,0.9988101849577816,0.9743548068749683
2005-01-26,0.9987309143081817,0.9809790512148828
2005-01-27,0.9986516499499033,0.9801275781848686
2005-01-28,0.998572391882447,0.9817261249532537
2005-01-31,1.0007527491000572,0.9843605618413829
2005-02-01,1.0019558901100398,0.985543995573267
2005-02-02,1.0039690557480603,0.9875241858453433
2005-02-03,0.9973700804221156,0.9810333007938001
2005-02-04,1.006189359542014,0.9897081213799098
2005-02-07,1.0059015712625647,0.989425047031421
2005-02-08,1.0079493377691435,0.991439271414765
2005-02-09,1.0027525606626468,0.9863276167758787
2005-02-10,1.0031341737111967,0.9867029790571359
2005-02-11,1.010745018233137,0.9941891590316018
2005-02-14,1.0152278909401637,0.9985986029232328
2005-02-15,1.0166669186579915,1.0000140595723404
2005-02-16,1.014501547332232,0.997884156719976
2005-02-17,1.0086230598887962,0.992101958062214
2005-02-18,1.0059338321156042,0.9894567794562904
2005-02-22,1.0027340466308692,0.9863094060013005
2005-02-23,1.004759246139904,0.9883014330313007
2005-02-24,1.0084625495571298,0.991944076866881
2005-02-25,1.0145069155185846,0.9978894369762019
2005-02-28,1.0075025050374788,0.990999757739498
2005-03-01,1.0095775284124873,0.9930407925276554
2005-03-02,1.0090758449303665,0.9925473265493995
2005-03-03,1.0052467530450888,0.9887809546429285
2005-03-04,1.0149000015415295,0.9982760843061703
2005-03-07,1.0201308952330865,1.0034212967053209
2005-03-08,1.0174195584673211,1.000754371248968
2005-03-09,1.0095571032844968,0.9930207019603474
2005-03-10,1.0122757555512913,0.9956948230908662
2005-03-11,1.0075307030082143,0.9910274938314957
2005-03-14,1.0094139501657147,0.9928798936692281
2005-03-15,1.0038068002362615,0.9873645880556798
2005-03-16,1.0017076136429557,0.9852997858392937
2005-03-17,1.0007951041933865,0.9844022231643259
2005-03-18,0.9974394084927739,0.9811014932805517
2005-03-21,0.9916643204935397,0.9754210003988467
2005-03-22,0.9813826506412922,0.9653077428319529
2005-03-23,0.9822495058026952,0.9661603990294814
2005-03-24,0.9828611813156819,0.9667620553848295
2005-03-28,0.982980567220362,0.966879485765423
2005-03-29,0.9808791630613619,0.9648125023067523
2005-03-30,0.9904100775970737,0.9741873018220893
2005-03-31,0.991798688470743,0.9755531674477531
2005-04-01,0.9877751552474203,0.9715955391246143
2005-04-04,0.9885610066807248,0.972368518423554
2005-04-05,0.9899918245257956,0.9737758996764491
2005-04-06,0.9922764967396233,0.9760231492853552
2005-04-07,0.9941789079522161,0.9778943992736917
2005-04-08,0.9910666594695701,0.974833128977185
2005-04-11,0.9919546791502136,0.9757066030221482
2005-04-12,0.9970297204990689,0.9806985159177358
2005-04-13,0.9896728889837629,0.973462188253094
2005-04-14,0.9790804711846232,0.9630432727463455
2005-04-15,0.9737613984519994,0.9578113256662409
2005-04-18,0.9759784060613912,0.9599920190072786
2005-04-19,0.9852562475143082,0.9691178907408126
2005-04-20,0.9797671151307293,0.9637186695625741
2005-04-21,0.9871898672639818,0.9710198380748448
2005-04-22,0.985713802181866,0.9695679507281924
2005-04-25,0.9903039716625648,0.9740829338876502
2005-04-26,0.9862734332839537,0.9701184151526673
2005-04-27,0.985885382528019,0.969736720612754
2005-04-28,0.9809413858944183,0.9648737059386803
2005-04-29,0.9873877905666819,0.9712145194220834
2005-05-02,0.986953438028923,0.9707872815169264
2005-05-03,0.9885430051345159,0.972350811740104
2005-05-04,0.9920239765974528,0.975774765387088
2005-05-05,0.9926957701730326,0.9764355550797407
2005-05-06,0.988434162805786,0.9722437522331908
2005-05-09,0.9914865480999855,0.9752461398917375
2005-05-10,0.9893443148058898,0.9731389960733791
2005-05-11,0.9929124946076511,0.9766487295990389
2005-05-12,0.987300575279655,0.9711287327090155
2005-05-13,0.9891493697609628,0.9729472442004762
2005-05-16,0.992310764463535,0.9760568557088382
2005-05-17,0.9959622554591626,0.9796485358028943
2005-05-18,1.0046288144073836,0.9881731377519511
2005-05-19,1.006636742296708,0.9901481760689078
2005-05-20,1.005523115952415,0.9890527907652596
2005-05-23,1.009887091159035,0.9933452846805783
2005-05-24,1.011381682040322,0.9948153943764544
2005-05-25,1.0091266324926669,0.9925972822186748
2005-05-26,1.0117688628143628,0.9951962331846531
2005-05-27,1.0136650143760908,0.997061326054313
2005-05-31,1.0128401195550005,0.9962499428927092
2005-06-01,1.0193539181456253,1.0026570463917053
2005-06-02,1.0257250306861319,1.008923801017728
2005-06-03,1.0189506414549996,1.0022603753157389
2005-06-06,1.0219131861778756,1.0051743939787032
2005-06-07,1.0213049741200342,1.0045761443475993
2005-06-08,1.01875765714804,1.0020705520641955
2005-06-09,1.0208752559531502,1.0041534649029837
2005-06-10,1.0167520789627307,1.0000978249634376
2005-06-13,1.0181209753531724,1.0014442990262962
2005-06-14,1.0148749630661111,0.9982514559574074
