Date,port_r_net,bh_r
2005-01-04,-7.936507936507937e-05,-0.011938209166263493
2005-01-05,-7.936507936507937e-05,-0.0024232069171756633
2005-01-06,-7.936507936507937e-05,-0.002917601166203471
2005-01-07,-7.936507936507937e-05,-0.0004064498269171882
2005-01-10,-7.936507936507937e-05,0.0020256312528767915
2005-01-11,-7.936507936507937e-05,-0.0005386785592472856
2005-01-12,-7.936507936507937e-05,0.005482788602489286
2005-01-13,-7.936507936507937e-05,-0.002980389407774298
2005-01-14,-7.936507936507937e-05,0.0019320470343785088
2005-01-18,-7.936507936507937e-05,0.005239373928840596
2005-01-19,-7.936507936507937e-05,-0.006463229790128877
2005-01-20,-7.936507936507937e-05,-0.005957605319289305
2005-01-21,-7.936507936507937e-05,-0.00044489096339029894
2005-01-24,-7.936507936507937e-05,-0.0028338949894019362
2005-01-25,-7.936507936507937e-05,-0.003589924299958203
2005-01-26,-7.936507936507937e-05,0.006798320133809699
2005-01-27,-7.936507936507937e-05,-0.0008676782805118302
2005-01-28,-7.936507936507937e-05,0.0016311099387257165
2005-01-31,0.002183485225033466,0.002683485225033466
2005-02-01,0.001202354487054652,0.001202354487054652
2005-02-02,0.002009240053884631,0.002009240053884631
2005-02-03,-0.006573152164049312,-0.006573152164049312
2005-02-04,0.008842276242346474,0.008842276242346474
2005-02-07,-0.00028578194793880713,-0.00028578194793880713
2005-02-08,0.002035741159751708,0.002035741159751708
2005-02-09,-0.005155600043236519,-0.005155600043236519
2005-02-10,0.0003805749117111065,0.0003805749117111065
2005-02-11,0.007586753790896672,0.007586753790896672
2005-02-14,0.004435458089570676,0.004435458089570676
2005-02-15,0.0014171499254343077,0.0014171499254343077
2005-02-16,-0.0021295012702980233,-0.0021295012702980233
2005-02-17,-0.005794646260119119,-0.005794646260119119
2005-02-18,-0.002666341890811175,-0.002666341890811175
2005-02-22,-0.003180631442955201,-0.003180631442955201
2005-02-23,0.002019475964762224,0.002019475964762224
2005-02-24,0.0036859692139264875,0.0036859692139264875
2005-02-25,0.005993599427405949,0.005993599427405949
2005-02-28,-0.0069044506868449875,-0.0069044506868449875
2005-03-01,0.0020595107810264966,0.0020595107810264966
2005-03-02,-0.0004969380711632002,-0.0004969380711632002
2005-03-03,-0.0037943661311968914,-0.0037943661311968914
2005-03-04,0.009602639464882256,0.009602639464882256
2005-03-07,0.0051539654847686965,0.0051539654847686965
2005-03-08,-0.002657427539481988,-0.002657427539481988
2005-03-09,-0.007728343456622278,-0.007728343456622278
2005-03-10,0.0026932701906481503,0.0026932701906481503
2005-03-11,-0.004687510284539298,-0.004687510284539298
2005-03-14,0.0018689889619277643,0.0018689889619277643
2005-03-15,-0.005554909110794937,-0.005554909110794937
2005-03-16,-0.0020908086205354117,-0.0020908086205354117
2005-03-17,-0.0009108722793981064,-0.0009108722793981064
2005-03-18,-0.0033533567725223647,-0.0033533567725223647
2005-03-21,-0.005789921295613632,-0.005789921295613632
2005-03-22,-0.010368103579347738,-0.010368103579347738
2005-03-23,0.0008834367309219102,0.0008834367309219102
2005-03-24,0.000622520390673775,0.000622520390673775
2005-03-28,0.00012121958580759123,0.00012121958580759123
2005-03-29,-0.0021374084299581155,-0.0021374084299581155
2005-03-30,0.009716693226413152,0.009716693226413152
2005-03-31,0.001402199133915749,0.001402199133915749
2005-04-01,-0.004056850483864016,-0.004056850483864016
2005-04-04,0.000795430303206823,0.000795430303206823
2005-04-05,0.0014473418183996332,0.0014473418183996332
2005-04-06,0.002307998026388941,0.002307998026388941
2005-04-07,0.001916936241256789,0.001916936241256789
2005-04-08,-0.003130279559642746,-0.003130279559642746
2005-04-11,0.0008959928891277999,0.0008959928891277999
2005-04-12,0.00511599428478986,0.00511599428478986
2005-04-13,-0.007378657437101766,-0.007378657437101766
2005-04-14,-0.010702997274959004,-0.010702997274959004
2005-04-15,-0.005432617865765194,-0.005432617865765194
2005-04-18,0.002276843655379379,0.002276843655379379
2005-04-19,0.009506336863798747,0.009506336863798747
2005-04-20,-0.005571630719273008,-0.005571630719273008
2005-04-21,0.007576090750999731,0.007576090750999731
2005-04-22,-0.0014950725317394,-0.0014950725317394
2005-04-25,0.004656842299153019,0.004656842299153019
2005-04-26,-0.004069995132693499,-0.004069995132693499
2005-04-27,-0.0003935655483488623,-0.0003935655483488623
2005-04-28,-0.005014746925857555,-0.005014746925857555
2005-04-29,0.006571439072694685,0.006571439072694685
2005-05-02,-0.0004396688741185986,-0.0004396688741185986
2005-05-03,0.001610557337835261,0.001610557337835261
2005-05-04,0.0035212599081511807,0.0035212599081511807
2005-05-05,0.0006772909627333509,0.0006772909627333509
2005-05-06,-0.0042931966312472316,-0.0042931966312472316
2005-05-09,0.003088234165945769,0.003088234165945769
2005-05-10,-0.002160497083761104,-0.002160497083761104
2005-05-11,0.00360648888128694,0.00360648888128694
2005-05-12,-0.005651997251873692,-0.005651997251873692
2005-05-13,0.0018727453696804784,0.0018727453696804784
2005-05-16,0.0031960205820513897,0.0031960205820513897
2005-05-17,0.003679535647689458,0.003679535647689458
2005-05-18,0.008701664926112173,0.008701664926112173
2005-05-19,0.0019989469082703935,0.0019989469082703935
2005-05-20,-0.0011064146371743246,-0.0011064146371743246
2005-05-23,0.004340185279831504,0.004340185279831504
2005-05-24,0.0014796161572254328,0.0014796161572254328
2005-05-25,-0.0022298031416448207,-0.0022298031416448207
2005-05-26,0.0026184628413921827,0.0026184628413921827
2005-05-27,0.001874092006770067,0.001874092006770067
2005-05-31,-0.0008130985638336144,-0.0008130985638336144
